ID;CLASS;EVENTS
72;3;3 6 14 18 24 30 33 40 45 50 53 58 64 70 75 80
73;22;4 7 15 20 24 29 34 40 41 49 55 60 65 70 72 80
74;18;2 6 13 18 23 30 34 39 45 50 55 59 63 70 75 80
75;9;2 6 12 18 23 30 33 39 45 50 55 60 63 69 72 80
76;15;5 10 15 20 25 30 35 39 45 50 54 56 65 70 75 79
77;10;5 7 15 20 24 30 34 38 45 50 52 59 65 70 75 80
78;2;5 10 14 20 23 29 34 40 45 50 55 60 64 70 75 80
79;25;4 6 14 20 24 30 31 39 45 50 51 59 64 69 75 80
80;7;5 10 15 20 25 30 33 39 45 50 52 59 65 68 75 80
81;19;4 6 13 18 23 28 35 38 45 50 55 57 63 70 73 78
82;12;5 6 15 19 25 30 33 40 45 48 55 60 65 69 75 79
83;0;3 6 14 19 24 30 31 38 42 50 51 60 64 68 75 80
84;23;5 10 15 20 25 30 32 39 45 48 55 59 65 70 75 80
85;24;5 8 15 20 24 27 35 40 45 50 55 58 64 70 74 79
86;16;5 9 15 20 25 30 33 40 43 50 55 60 65 70 75 80
87;13;5 10 15 20 24 26 35 40 43 50 55 60 65 70 72 80
88;5;5 10 15 20 25 30 34 40 45 50 52 56 64 70 75 80
89;20;5 6 15 20 24 30 31 40 45 49 55 60 65 70 72 80
90;6;5 8 15 20 24 29 34 40 45 48 55 60 65 70 75 80
91;4;2 6 11 17 23 27 34 40 45 49 55 60 62 70 75 80
92;1;5 10 15 20 25 30 34 39 45 50 53 58 64 70 75 80
93;21;5 8 15 20 25 29 34 40 44 49 55 60 65 70 75 80
94;11;3 8 13 20 24 28 32 38 45 46 51 59 62 69 73 79
95;3;4 10 15 20 25 29 34 40 45 48 55 57 65 70 75 80
96;17;5 9 15 20 25 30 33 40 43 50 55 60 65 69 75 80
97;8;4 10 15 20 25 30 34 38 45 50 54 56 65 70 75 78
98;14;5 9 15 20 25 30 31 40 45 50 53 60 65 69 75 80
99;22;5 10 15 20 25 27 35 39 42 50 55 59 65 70 74 78
100;15;5 10 15 20 24 27 35 40 42 50 55 56 63 70 75 80
101;18;5 10 15 20 25 30 34 39 45 50 53 58 64 68 75 80
102;9;3 8 13 20 24 30 33 38 45 50 53 60 63 68 73 79
103;19;5 10 15 20 25 30 34 39 45 50 53 58 64 70 75 79
104;10;5 10 15 20 24 28 34 39 45 50 55 60 65 70 75 80
105;2;4 6 14 20 24 29 34 40 45 50 55 60 64 70 75 80
106;25;3 8 14 20 24 30 34 38 45 49 55 59 62 70 75 80
107;7;5 9 15 20 25 30 34 40 45 50 52 58 65 70 75 80
108;12;4 9 14 20 24 30 33 40 41 49 55 60 65 68 72 80
109;0;5 10 15 20 25 30 31 38 42 50 51 60 64 68 74 80
110;23;4 10 14 20 23 30 34 40 44 49 55 60 65 70 75 80
111;24;5 10 15 20 23 29 35 38 42 49 55 60 63 70 72 80
112;16;5 10 15 20 25 30 32 40 45 50 53 59 65 70 75 80
113;13;3 6 13 18 24 30 35 40 44 49 55 59 65 70 74 80
114;20;5 6 15 19 24 27 34 40 45 50 55 60 65 70 74 79
115;5;5 10 15 20 25 29 35 40 44 50 55 58 65 70 75 80
116;6;3 6 13 18 23 29 34 40 45 50 55 60 64 70 75 80
117;4;4 6 15 19 24 30 34 38 45 50 54 60 64 70 75 80
118;1;4 6 13 18 24 30 34 40 45 49 55 58 64 70 75 80
119;3;5 9 14 20 24 28 34 40 45 50 55 58 65 70 75 80
120;21;4 6 15 20 23 30 34 40 43 49 55 60 65 70 72 80
121;11;3 6 13 19 23 27 31 40 45 46 51 57 63 69 72 79
122;17;4 7 14 20 24 30 33 39 45 50 52 59 65 69 75 80
123;8;2 7 11 20 23 30 34 40 43 49 55 60 62 70 72 80
124;15;5 10 15 20 25 28 35 40 43 50 54 57 63 70 75 79
125;14;5 10 15 20 25 30 34 40 45 49 55 60 65 70 75 80
126;22;5 7 15 20 25 27 35 38 43 50 55 59 65 70 74 79
127;18;5 10 15 20 25 28 35 39 43 50 55 57 65 70 75 76
128;19;5 9 15 20 25 29 35 40 45 50 55 56 65 70 75 77
129;9;5 8 13 20 24 30 34 39 43 50 53 57 65 70 75 80
130;12;4 8 14 20 24 30 34 40 41 49 55 60 65 67 72 80
131;10;5 10 15 20 25 29 34 37 45 50 55 60 65 70 75 80
132;2;5 10 15 20 25 30 34 40 45 49 55 60 65 70 75 80
133;0;4 9 15 20 24 30 31 38 43 50 51 60 65 67 75 80
134;25;5 10 15 20 25 30 31 40 45 50 52 60 65 68 75 80
135;7;5 8 15 20 25 30 33 40 45 50 51 58 65 70 75 80
136;23;3 6 13 19 24 30 34 39 45 48 55 60 64 70 75 80
137;24;5 7 15 20 24 27 35 40 45 50 55 58 63 70 73 79
138;16;3 6 12 17 23 30 34 40 44 48 55 60 64 70 75 80
139;13;3 6 12 18 23 30 35 40 44 49 55 59 65 70 73 79
140;20;3 6 13 18 23 30 34 40 45 48 55 60 65 70 73 80
141;5;5 10 15 20 24 26 35 40 44 50 55 59 62 70 75 79
142;6;5 8 15 20 24 30 33 40 45 50 55 60 64 70 75 80
143;4;4 6 14 20 24 27 34 40 45 49 54 60 62 70 75 80
144;3;5 7 15 20 25 30 34 40 45 48 54 58 65 70 75 80
145;1;5 7 14 20 25 29 34 40 45 49 55 59 65 70 75 80
146;21;5 8 15 20 24 27 35 40 44 50 55 59 65 70 73 80
147;11;4 8 14 20 24 30 31 37 45 50 51 60 63 68 74 80
148;15;4 10 14 20 25 27 35 40 42 50 55 56 63 70 75 80
149;17;3 6 13 20 24 30 34 40 45 49 55 59 65 69 75 80
150;8;2 10 11 20 22 30 34 40 44 49 55 60 62 70 72 80
151;14;5 10 15 20 25 30 34 40 45 49 55 58 65 70 75 80
152;19;5 10 15 20 25 29 35 40 45 50 55 56 65 70 74 77
153;22;5 6 15 19 24 27 35 39 42 50 55 59 65 70 73 79
154;18;4 10 14 20 24 30 33 40 45 47 55 60 62 70 75 80
155;9;3 9 12 20 23 30 31 40 45 50 51 60 62 69 72 80
156;12;5 10 15 20 25 29 33 39 44 50 55 60 65 67 74 80
157;0;3 6 14 19 24 30 31 38 42 50 51 60 64 68 75 80
158;10;5 6 15 20 25 27 34 38 45 50 55 60 65 70 75 79
159;2;3 6 13 19 23 27 35 40 45 50 55 60 63 70 74 80
160;23;5 6 15 20 24 30 34 39 45 48 55 59 64 70 75 80
161;25;4 9 14 20 24 30 34 40 45 48 55 60 63 70 75 80
162;7;4 8 14 20 24 30 34 40 41 49 54 60 65 70 72 80
163;24;5 10 15 20 25 27 35 38 45 50 55 59 63 70 75 78
164;16;5 10 15 20 25 30 33 40 45 50 54 59 65 69 75 80
165;13;3 6 13 18 24 29 34 40 44 50 55 59 65 70 73 79
166;20;5 6 15 20 24 30 31 40 45 49 55 60 65 70 72 80
167;5;2 6 11 17 22 27 35 40 42 50 55 58 62 70 74 80
168;6;5 10 15 20 24 30 31 40 44 50 52 58 65 69 75 80
169;3;3 6 12 17 23 28 34 40 45 48 55 58 64 70 75 80
170;4;5 10 14 20 25 27 34 40 45 49 55 60 62 70 75 80
171;1;5 10 15 20 25 30 34 40 45 49 55 58 65 70 75 80
172;21;4 10 15 20 23 30 34 40 43 48 55 60 65 70 72 80
173;15;4 6 14 19 24 28 35 40 45 50 55 56 63 70 75 80
174;11;5 10 15 20 25 30 31 37 45 50 51 60 63 68 75 80
175;17;4 10 14 20 24 29 35 40 45 49 54 60 65 70 75 80
176;19;5 10 15 20 24 30 34 40 45 50 55 60 64 69 75 79
177;8;4 9 15 20 25 30 34 40 45 50 55 56 65 70 75 79
178;14;5 8 15 20 25 30 33 40 41 49 55 60 65 70 75 80
179;22;5 8 15 20 24 30 34 40 41 49 55 60 65 70 72 80
180;12;5 10 15 20 25 30 33 38 44 50 55 60 65 68 74 80
181;18;4 6 15 20 24 30 34 39 45 50 54 59 63 70 75 80
182;9;2 6 12 18 23 30 33 39 45 50 55 60 63 69 73 80
183;0;3 7 13 20 24 30 31 38 42 50 51 60 64 68 74 80
184;23;5 10 15 20 24 29 34 37 45 50 55 60 65 69 75 79
185;10;3 6 12 17 22 28 34 40 41 49 55 60 65 70 74 80
186;24;3 6 13 19 23 27 35 38 45 50 55 58 63 70 74 78
187;2;4 6 14 19 23 27 35 40 45 50 55 60 63 70 74 80
188;25;5 10 15 20 25 30 32 38 45 50 53 60 63 70 75 80
189;7;4 8 14 20 25 30 34 40 45 49 55 60 65 70 75 80
190;20;5 10 15 20 25 30 33 40 44 49 55 60 65 70 75 80
191;13;5 6 15 20 25 30 34 40 44 50 55 59 65 70 75 76
192;16;5 10 15 20 24 30 33 40 45 48 54 60 65 70 75 80
193;5;4 9 13 20 23 26 35 40 43 50 55 58 62 70 74 79
194;3;3 6 12 18 23 29 34 40 45 48 55 58 64 70 75 80
195;6;3 6 14 19 24 29 34 40 45 48 55 60 64 70 75 80
196;4;5 10 15 20 25 29 34 37 45 50 55 60 65 70 75 80
197;1;4 6 15 19 24 30 34 38 45 50 54 59 64 70 75 80
198;15;2 6 12 17 23 28 35 40 42 50 55 56 63 70 75 80
199;21;2 6 12 17 22 30 35 39 42 49 55 60 64 70 72 80
200;11;4 8 14 20 24 27 32 37 45 49 51 60 62 70 74 80
201;19;5 10 15 20 25 29 35 39 45 50 55 58 65 70 75 78
202;17;5 10 15 20 25 30 35 40 45 50 54 60 65 69 75 80
203;8;5 10 15 20 25 30 32 38 45 49 55 56 62 70 75 80
204;12;5 10 15 20 25 30 33 40 45 49 55 60 65 67 74 80
205;14;4 10 14 20 24 30 34 40 45 49 55 60 65 70 75 80
206;22;5 7 15 20 25 27 35 39 42 50 55 59 65 70 73 80
207;0;3 9 14 20 24 30 33 39 41 48 51 60 64 69 74 80
208;18;5 7 15 20 25 30 35 40 44 50 54 58 65 70 75 80
209;9;5 8 15 20 24 28 35 39 45 50 55 60 63 68 73 80
210;23;4 10 15 20 25 30 34 39 45 48 55 60 65 70 75 80
211;24;5 7 15 20 23 29 35 39 42 50 55 60 63 70 72 80
212;10;5 9 15 20 25 27 34 37 45 50 55 60 65 70 75 79
213;20;5 9 15 20 24 27 34 40 45 50 55 60 65 70 74 79
214;2;5 6 15 20 24 30 33 40 45 50 54 60 63 70 75 80
215;25;3 6 12 18 24 30 34 40 45 48 55 59 63 70 75 80
216;7;4 6 15 18 24 30 33 39 45 50 54 60 65 70 75 80
217;16;3 6 12 18 23 30 34 40 42 50 55 60 64 70 75 80
218;13;5 10 14 20 24 30 34 40 42 47 55 60 65 70 72 80
219;3;5 6 15 20 24 28 34 40 45 49 55 57 65 70 75 80
220;5;5 9 15 20 25 30 34 40 44 49 55 59 65 70 75 80
221;6;5 10 15 20 24 29 34 40 45 50 55 60 64 70 75 80
222;4;5 7 15 20 25 30 34 39 45 49 55 60 65 70 75 80
223;15;5 10 14 20 24 30 34 40 43 50 54 57 65 70 75 80
224;1;3 6 12 18 24 30 34 40 45 49 54 58 64 70 75 80
225;21;5 8 14 20 24 27 35 40 43 50 55 59 65 70 73 80
226;19;3 7 13 20 24 29 35 39 45 50 55 60 64 70 73 80
227;11;3 6 13 20 23 27 31 39 45 46 51 59 62 69 73 79
228;17;5 8 15 20 25 30 34 40 45 48 54 60 65 68 75 80
229;12;4 6 15 19 24 30 33 40 44 49 55 60 65 67 74 80
230;8;3 6 11 20 23 30 34 37 45 49 55 60 62 70 75 80
231;14;5 7 14 20 24 30 34 40 45 50 54 59 65 70 75 80
232;0;5 10 15 20 25 30 32 38 45 50 51 58 65 69 75 80
233;22;5 10 15 20 25 30 34 40 41 49 55 60 65 70 72 80
234;18;5 10 15 20 25 30 34 39 45 50 53 59 64 69 75 80
235;23;5 10 15 20 25 30 34 38 45 50 55 59 65 70 75 80
236;9;5 10 15 20 25 30 32 39 45 50 55 60 65 68 75 79
237;24;5 10 15 20 25 30 35 38 45 48 55 60 64 70 74 80
238;20;4 7 14 20 25 29 34 40 44 48 54 60 65 70 73 80
239;10;5 10 15 20 25 30 33 37 45 50 53 60 65 70 75 80
240;16;3 6 13 19 24 30 34 40 42 49 55 60 64 70 75 80
241;2;5 10 15 20 24 29 34 40 45 50 55 60 64 70 75 80
242;25;5 9 15 20 25 30 34 38 45 49 55 59 63 70 75 80
243;7;2 6 12 17 22 30 34 40 41 49 55 60 65 70 72 80
244;13;4 9 14 20 24 30 34 40 45 48 55 57 65 70 74 78
245;3;5 9 15 20 25 30 34 40 45 50 55 57 65 70 75 80
246;5;3 6 13 18 24 28 35 40 45 50 55 57 63 70 75 79
247;6;4 7 14 20 24 29 33 40 45 48 55 60 64 70 75 80
248;15;3 6 14 19 24 30 35 40 44 50 54 56 63 70 74 80
249;4;3 6 12 19 24 30 34 40 45 49 55 60 64 70 75 80
250;1;5 10 15 20 25 30 33 40 45 50 54 59 64 70 75 80
251;19;5 10 15 20 24 27 35 39 45 50 55 56 64 70 75 76
252;21;5 6 15 20 24 30 34 40 43 49 55 60 65 70 72 80
253;11;4 9 15 20 24 30 31 37 45 50 52 60 62 69 74 80
254;12;5 10 15 20 25 30 33 38 45 50 53 59 65 70 75 80
255;17;4 6 13 20 24 29 35 40 44 49 54 59 65 69 75 80
256;8;1 7 11 20 22 30 34 40 44 49 55 60 62 70 72 80
257;0;5 10 15 20 24 30 31 39 42 49 51 60 65 69 75 80
258;14;5 10 15 20 25 30 34 40 44 49 55 60 65 69 75 80
259;22;5 10 15 20 25 27 35 39 42 50 55 59 65 70 75 79
260;23;4 7 15 20 25 30 33 38 45 50 55 59 65 70 75 79
261;18;3 7 13 20 24 30 34 40 45 49 54 60 64 70 75 80
262;20;5 10 15 20 25 27 34 40 45 50 55 60 65 70 74 78
263;9;2 8 12 20 23 30 31 40 43 50 55 60 63 68 72 80
264;24;4 6 15 20 23 30 35 38 42 49 55 60 63 70 72 80
265;16;4 8 14 20 24 30 34 40 45 47 55 60 65 70 75 80
266;10;2 6 11 16 22 27 33 40 41 49 55 60 65 69 73 80
267;13;5 6 15 20 25 30 34 40 43 48 54 60 65 70 75 80
268;2;4 9 14 20 24 28 34 40 45 50 55 60 64 70 75 80
269;3;3 6 13 19 24 30 33 39 45 50 53 58 64 70 74 80
270;25;5 10 14 20 24 29 34 40 45 49 55 60 63 70 75 80
271;7;4 6 14 20 24 30 35 40 42 49 52 60 65 70 72 80
272;5;5 10 15 20 25 28 35 40 45 50 55 57 64 70 75 78
273;6;5 10 15 20 25 28 33 40 45 48 54 60 64 70 75 80
274;15;2 6 11 16 22 28 35 40 41 50 55 57 62 70 75 80
275;4;4 8 15 20 25 28 34 39 45 49 55 60 64 70 75 79
276;19;5 8 15 20 25 29 34 40 45 49 55 60 65 70 75 80
277;1;5 10 15 20 25 30 33 40 44 48 55 59 65 70 75 79
278;21;5 9 15 20 24 27 35 38 43 50 55 59 65 70 73 80
279;12;4 8 14 20 24 30 33 40 41 48 55 60 65 68 72 80
280;11;3 6 13 19 23 28 31 40 45 46 52 56 63 69 73 78
281;17;5 10 15 20 25 30 34 40 45 50 51 58 65 67 75 79
282;0;5 10 15 20 25 30 31 37 42 47 51 59 65 68 75 80
283;8;3 10 12 20 24 30 34 37 45 49 55 60 62 70 75 80
284;20;5 10 15 20 25 27 34 40 45 50 55 60 65 70 75 76
285;14;5 10 15 20 24 29 34 40 44 49 53 59 65 70 75 80
286;22;5 10 15 20 25 27 35 38 42 50 55 60 65 70 73 80
287;23;4 7 15 20 25 30 34 39 45 48 55 60 65 70 75 80
288;18;5 10 14 20 24 30 34 40 43 50 55 60 64 70 75 80
289;9;5 8 15 20 25 30 32 40 45 50 55 58 64 69 75 79
290;24;5 7 15 20 25 30 34 40 42 48 55 60 65 70 75 80
291;16;3 6 13 20 24 30 35 40 42 49 55 60 64 70 75 80
292;13;5 10 15 20 24 28 35 40 45 46 53 60 65 70 74 80
293;10;5 6 15 20 24 27 34 40 42 49 53 60 65 70 74 80
294;3;4 9 14 20 24 28 34 40 45 49 55 57 65 70 75 80
295;2;5 10 15 20 25 27 34 40 45 50 55 60 64 70 75 80
296;5;5 10 15 20 25 27 35 40 45 50 55 56 64 70 74 78
297;25;5 7 15 20 25 30 31 39 45 50 51 60 64 69 75 80
298;7;5 10 15 20 25 30 34 40 45 50 54 58 65 70 75 80
299;15;5 10 15 20 25 28 35 40 44 50 55 56 64 70 75 80
300;6;3 6 13 18 23 30 34 40 45 50 55 60 64 70 75 80
301;4;5 7 15 20 24 29 34 40 45 50 55 60 64 70 75 79
302;19;5 10 15 20 25 30 34 39 45 50 54 58 64 70 75 80
303;1;5 10 14 20 25 29 34 40 45 49 54 59 64 70 75 80
304;21;3 6 13 17 22 30 35 40 42 49 55 60 64 70 72 80
305;12;5 9 15 20 25 30 34 40 44 49 55 59 65 70 75 78
306;11;5 10 15 20 25 30 31 38 45 50 51 60 64 67 75 80
307;0;5 6 15 20 24 30 31 39 42 49 51 60 65 69 74 80
308;17;5 9 15 20 25 29 34 40 45 49 54 59 65 69 75 80
309;20;5 10 15 20 24 29 34 40 45 49 55 60 65 70 73 80
310;8;5 8 15 20 25 30 35 40 45 50 55 59 65 70 75 80
311;14;5 10 15 20 25 30 34 40 45 49 55 60 65 70 75 80
312;22;4 6 14 18 24 28 35 38 42 50 55 59 65 70 73 79
313;23;5 10 15 20 24 30 34 38 45 50 55 60 65 70 75 80
314;24;3 6 14 20 24 30 35 37 45 48 55 60 63 70 74 80
315;18;5 10 15 20 25 30 34 40 45 50 55 60 64 70 75 80
316;9;4 7 14 20 24 29 34 39 45 50 55 60 63 68 73 80
317;16;5 10 15 20 25 30 34 40 45 48 55 60 65 70 75 80
318;13;5 10 15 20 25 30 34 40 45 49 55 58 65 70 73 79
319;3;4 7 13 20 24 28 34 40 45 50 55 57 65 70 75 80
320;10;5 6 15 20 24 27 34 38 45 50 55 60 65 70 75 79
321;5;5 10 15 20 24 26 35 40 45 50 55 60 62 70 74 79
322;2;5 7 15 20 25 30 34 40 44 48 55 60 65 70 75 80
323;15;1 6 11 16 22 28 35 40 41 50 55 57 63 70 74 80
324;25;4 10 14 20 24 30 34 40 45 50 55 60 62 70 75 80
325;7;5 9 15 20 25 30 34 39 45 50 54 59 65 70 75 80
326;6;5 10 15 20 24 30 33 40 45 48 55 60 64 69 75 80
327;19;3 6 13 20 23 30 35 37 45 47 55 60 62 70 72 80
328;4;5 6 14 20 24 27 34 40 45 49 55 60 62 70 75 80
329;1;5 10 15 20 25 30 34 40 45 50 55 59 65 69 75 80
330;12;2 6 12 16 23 30 33 40 41 49 55 60 65 68 72 80
331;21;5 9 15 20 25 30 35 38 41 49 55 60 65 70 75 80
332;20;2 6 12 16 22 30 33 40 44 49 55 60 64 70 72 80
333;11;3 7 14 20 24 27 32 37 45 48 51 60 62 69 74 80
334;17;4 8 14 20 24 28 35 40 43 49 54 60 64 70 75 80
335;0;3 6 14 19 23 30 31 38 42 48 51 60 64 68 74 80
336;8;5 10 13 20 23 30 33 40 44 50 52 59 64 70 75 80
337;23;3 6 12 17 22 30 34 40 44 49 55 60 65 70 75 80
338;14;5 10 15 20 25 30 34 40 45 49 54 60 65 70 75 80
339;22;5 9 15 20 25 30 34 40 43 49 55 60 65 70 75 80
340;24;4 6 15 20 24 30 35 37 45 47 55 60 64 70 75 80
341;16;5 10 15 20 25 30 34 40 45 48 55 60 65 70 75 80
342;18;5 10 15 20 24 30 33 39 45 50 53 60 64 70 75 80
343;9;5 10 14 20 24 30 35 38 44 50 53 57 63 70 75 80
344;13;5 6 15 19 24 30 34 38 45 50 55 58 65 70 73 80
345;3;3 6 14 18 24 30 34 40 45 50 54 58 64 70 75 80
346;15;5 9 15 20 24 27 35 40 41 50 55 56 63 70 75 80
347;10;5 8 15 20 25 29 34 39 44 48 53 60 65 67 75 80
348;5;5 10 15 20 25 30 33 40 44 49 55 60 65 70 75 80
349;2;5 9 15 20 25 28 34 39 44 49 55 60 65 70 75 80
350;6;5 10 15 20 25 28 34 40 45 50 55 60 64 70 75 80
351;25;4 9 14 20 24 30 34 39 45 50 55 60 62 70 75 80
352;7;5 8 15 20 25 30 33 40 45 49 55 58 65 70 75 80
353;19;5 7 14 20 24 29 35 38 45 50 55 56 62 70 75 78
354;4;3 6 13 19 24 30 34 37 45 50 54 60 64 70 75 80
355;12;5 10 15 20 25 29 33 40 45 49 55 60 65 68 74 80
356;1;4 6 15 19 25 30 34 39 45 50 54 59 64 70 75 80
357;21;5 9 15 20 25 29 35 39 42 50 55 60 65 70 75 80
358;20;5 10 15 20 24 30 31 40 45 49 55 60 65 70 72 80
359;11;3 6 13 18 23 30 31 38 45 50 51 60 62 69 74 80
360;0;3 8 14 20 24 30 31 38 42 50 51 60 64 68 75 80
361;17;5 10 15 20 24 28 35 40 44 49 52 60 65 69 75 80
362;23;3 6 14 19 24 30 33 38 45 50 52 59 64 70 75 80
363;8;2 9 12 20 24 30 34 37 45 49 55 60 62 70 74 80
364;14;5 10 15 20 25 30 35 40 43 50 55 59 65 70 75 80
365;24;2 6 12 16 22 30 35 39 41 49 55 60 63 70 72 80
366;22;5 10 15 20 25 28 34 38 44 50 55 60 65 70 74 79
367;16;5 10 15 20 25 30 34 40 44 50 55 60 65 70 75 80
368;18;4 6 13 19 24 30 34 40 45 49 55 59 64 70 75 80
369;13;4 7 15 20 24 29 35 40 44 50 55 60 65 70 73 80
370;9;3 8 13 20 23 30 31 40 44 50 54 60 63 68 72 80
371;3;5 8 15 20 25 30 34 40 44 50 55 56 65 70 75 80
372;15;5 10 15 20 25 29 33 40 44 50 55 60 65 70 75 80
373;5;4 7 14 20 24 28 35 40 44 50 55 57 64 70 74 79
374;10;5 10 15 20 25 29 34 39 45 50 55 60 65 70 75 80
375;6;3 6 13 18 24 30 34 40 45 50 55 60 64 70 75 80
376;19;4 6 14 19 24 28 35 38 45 50 55 56 63 70 74 78
377;2;5 10 14 20 24 30 34 40 42 50 55 60 65 70 75 80
378;25;5 6 15 20 24 30 34 40 45 50 55 60 62 70 75 80
379;7;4 7 14 20 24 30 34 40 45 50 54 59 65 69 75 80
380;4;5 10 15 20 25 30 32 40 43 50 55 60 65 70 75 80
381;12;2 6 12 16 22 30 33 40 41 49 55 60 65 68 72 80
382;1;5 10 15 20 25 30 34 39 45 50 54 58 64 70 75 80
383;20;5 10 15 20 24 30 32 40 45 49 55 60 65 70 72 80
384;21;5 10 15 20 25 30 35 39 42 47 55 60 65 70 75 80
385;11;5 10 15 20 25 29 33 40 45 50 55 60 65 70 75 80
386;0;4 6 15 20 24 30 31 38 42 49 51 60 64 69 74 80
387;17;4 9 15 20 25 29 34 40 45 48 53 60 65 69 75 80
